Driver,DriverNumber,LapNumber,LapTimeSeconds,Sector1Seconds,Sector2Seconds,Sector3Seconds,Stint,Compound,TyreLife,FreshTyre,PitInTime,PitOutTime,TrackStatus,Position,Deleted
VER,1,1.0,97.284,,41.266,23.616,1.0,SOFT,4.0,False,,,12,1.0,False
VER,1,2.0,96.296,30.916,41.661,23.719,1.0,SOFT,5.0,False,,,1,1.0,False
VER,1,3.0,96.753,30.999,41.966,23.788,1.0,SOFT,6.0,False,,,1,1.0,False
VER,1,4.0,96.647,30.931,41.892,23.824,1.0,SOFT,7.0,False,,,1,1.0,False
VER,1,5.0,97.173,31.255,42.056,23.862,1.0,SOFT,8.0,False,,,1,1.0,False
VER,1,6.0,97.092,31.041,42.187,23.864,1.0,SOFT,9.0,False,,,1,1.0,False
VER,1,7.0,97.038,31.015,42.118,23.905,1.0,SOFT,10.0,False,,,1,1.0,False
VER,1,8.0,97.024,31.041,42.077,23.906,1.0,SOFT,11.0,False,,,1,1.0,False
VER,1,9.0,97.229,31.1,42.166,23.963,1.0,SOFT,12.0,False,,,1,1.0,False
VER,1,10.0,96.96,30.986,42.009,23.965,1.0,SOFT,13.0,False,,,12,1.0,False
VER,1,11.0,97.085,30.974,42.142,23.969,1.0,SOFT,14.0,False,,,21,1.0,False
VER,1,12.0,97.045,30.966,42.091,23.988,1.0,SOFT,15.0,False,,,1,1.0,False
VER,1,13.0,97.03,30.964,42.055,24.011,1.0,SOFT,16.0,False,,,1,1.0,False
VER,1,14.0,97.028,30.938,42.042,24.048,1.0,SOFT,17.0,False,,,1,1.0,False
VER,1,15.0,97.011,30.887,42.058,24.066,1.0,SOFT,18.0,False,,,1,1.0,False
VER,1,16.0,97.168,31.048,42.032,24.088,1.0,SOFT,19.0,False,,,1,1.0,False
VER,1,17.0,99.896,31.006,42.06,26.83,1.0,SOFT,20.0,False,5250.291,,1,1.0,False
VER,1,18.0,117.854,52.815,41.511,23.528,2.0,HARD,1.0,True,,5275.379,1,1.0,False
VER,1,19.0,95.283,30.628,41.162,23.493,2.0,HARD,2.0,True,,,1,1.0,False
VER,1,20.0,95.16,30.585,41.1,23.475,2.0,HARD,3.0,True,,,1,1.0,False
VER,1,21.0,95.316,30.576,41.24,23.5,2.0,HARD,4.0,True,,,1,1.0,False
VER,1,22.0,95.204,30.56,41.142,23.502,2.0,HARD,5.0,True,,,1,1.0,False
VER,1,23.0,95.216,30.553,41.145,23.518,2.0,HARD,6.0,True,,,1,1.0,False
VER,1,24.0,95.289,30.548,41.257,23.484,2.0,HARD,7.0,True,,,1,1.0,False
VER,1,25.0,95.342,30.518,41.282,23.542,2.0,HARD,8.0,True,,,1,1.0,False
VER,1,26.0,95.223,30.522,41.14,23.561,2.0,HARD,9.0,True,,,1,1.0,False
VER,1,27.0,95.581,30.649,41.338,23.594,2.0,HARD,10.0,True,,,1,1.0,False
VER,1,28.0,95.477,30.588,41.272,23.617,2.0,HARD,11.0,True,,,1,1.0,False
VER,1,29.0,95.793,30.679,41.485,23.629,2.0,HARD,12.0,True,,,1,1.0,False
VER,1,30.0,95.771,30.657,41.47,23.644,2.0,HARD,13.0,True,,,1,1.0,False
VER,1,31.0,95.679,30.635,41.435,23.609,2.0,HARD,14.0,True,,,1,1.0,False
VER,1,32.0,95.886,30.669,41.519,23.698,2.0,HARD,15.0,True,,,1,1.0,False
VER,1,33.0,95.863,30.69,41.459,23.714,2.0,HARD,16.0,True,,,1,1.0,False
VER,1,34.0,96.133,30.685,41.661,23.787,2.0,HARD,17.0,True,,,1,1.0,False
VER,1,35.0,96.018,30.727,41.557,23.734,2.0,HARD,18.0,True,,,1,1.0,False
VER,1,36.0,96.205,30.794,41.561,23.85,2.0,HARD,19.0,True,,,1,1.0,False
VER,1,37.0,99.234,30.877,41.634,26.723,2.0,HARD,20.0,True,7187.796,,1,1.0,False
VER,1,38.0,116.445,51.526,41.562,23.357,3.0,SOFT,1.0,True,,7212.014,1,1.0,False
VER,1,39.0,92.608,29.741,39.916,22.951,3.0,SOFT,2.0,True,,,1,1.0,False
VER,1,40.0,96.589,31.014,42.023,23.552,3.0,SOFT,3.0,True,,,1,1.0,False
VER,1,41.0,95.29,30.697,41.281,23.312,3.0,SOFT,4.0,True,,,1,1.0,False
VER,1,42.0,94.667,30.477,40.996,23.194,3.0,SOFT,5.0,True,,,1,1.0,False
VER,1,43.0,94.151,30.132,40.772,23.247,3.0,SOFT,6.0,True,,,1,1.0,False
VER,1,44.0,94.531,30.348,40.805,23.378,3.0,SOFT,7.0,True,,,1,1.0,False
VER,1,45.0,94.249,30.18,40.825,23.244,3.0,SOFT,8.0,True,,,1,1.0,False
VER,1,46.0,94.193,30.301,40.682,23.21,3.0,SOFT,9.0,True,,,1,1.0,True
VER,1,47.0,94.239,30.267,40.704,23.268,3.0,SOFT,10.0,True,,,1,1.0,False
VER,1,48.0,94.35,30.245,40.738,23.367,3.0,SOFT,11.0,True,,,1,1.0,False
VER,1,49.0,94.403,30.246,40.804,23.353,3.0,SOFT,12.0,True,,,1,1.0,False
VER,1,50.0,94.783,30.229,40.928,23.626,3.0,SOFT,13.0,True,,,1,1.0,False
VER,1,51.0,94.34,30.003,40.834,23.503,3.0,SOFT,14.0,True,,,1,1.0,False
VER,1,52.0,94.906,30.333,40.919,23.654,3.0,SOFT,15.0,True,,,1,1.0,False
VER,1,53.0,95.6,30.528,41.382,23.69,3.0,SOFT,16.0,True,,,1,1.0,False
VER,1,54.0,95.334,30.427,41.227,23.68,3.0,SOFT,17.0,True,,,1,1.0,False
VER,1,55.0,95.184,30.493,41.22,23.471,3.0,SOFT,18.0,True,,,1,1.0,False
VER,1,56.0,94.671,30.256,40.87,23.545,3.0,SOFT,19.0,True,,,1,1.0,False
VER,1,57.0,94.923,30.384,40.91,23.629,3.0,SOFT,20.0,True,,,1,1.0,False
PER,11,1.0,100.053,,42.61,23.856,1.0,SOFT,4.0,False,,,12,4.0,False
PER,11,2.0,96.541,30.678,41.867,23.996,1.0,SOFT,5.0,False,,,1,4.0,False
PER,11,3.0,97.297,30.596,42.478,24.223,1.0,SOFT,6.0,False,,,1,4.0,False
PER,11,4.0,97.722,30.716,42.623,24.383,1.0,SOFT,7.0,False,,,1,4.0,False
PER,11,5.0,98.044,30.997,42.754,24.293,1.0,SOFT,8.0,False,,,1,4.0,False
PER,11,6.0,97.823,30.843,42.702,24.278,1.0,SOFT,9.0,False,,,1,4.0,False
PER,11,7.0,97.821,31.013,42.682,24.126,1.0,SOFT,10.0,False,,,1,3.0,False
PER,11,8.0,97.838,31.305,42.428,24.105,1.0,SOFT,11.0,False,,,1,3.0,False
PER,11,9.0,97.596,31.145,42.395,24.056,1.0,SOFT,12.0,False,,,1,3.0,False
PER,11,10.0,97.63,31.178,42.322,24.13,1.0,SOFT,13.0,False,,,12,3.0,False
PER,11,11.0,97.836,31.054,42.473,24.309,1.0,SOFT,14.0,False,,,1,2.0,False
PER,11,12.0,100.277,30.891,42.506,26.88,1.0,SOFT,15.0,False,4774.991,,1,3.0,False
