Driver,PitLap,IncomingCompound,OutgoingCompound,Stint,PitInTime,PitOutTime
ALB,15.0,SOFT,HARD,1.0,5087.139,5111.918
ALB,36.0,HARD,HARD,2.0,7167.973,7192.655
ALO,15.0,SOFT,HARD,1.0,5082.03,5106.892
ALO,41.0,HARD,HARD,2.0,7636.321,7661.382
BOT,12.0,SOFT,HARD,1.0,4800.495,4827.061
BOT,30.0,HARD,HARD,2.0,6590.207,6665.158
GAS,12.0,SOFT,HARD,1.0,4796.823,4826.625
GAS,31.0,HARD,HARD,2.0,6689.011,6715.547
GAS,43.0,HARD,SOFT,3.0,7873.617,7898.724
HAM,12.0,SOFT,HARD,1.0,4784.838,4809.902
HAM,33.0,HARD,HARD,2.0,6844.064,6868.183
HUL,1.0,SOFT,HARD,1.0,3712.101,3748.664
HUL,20.0,HARD,HARD,2.0,5606.755,5631.368
HUL,41.0,HARD,SOFT,3.0,7667.947,7692.28
LEC,11.0,SOFT,HARD,1.0,4679.892,4703.94
LEC,34.0,HARD,HARD,2.0,6931.86,6955.941
MAG,11.0,SOFT,HARD,1.0,4693.697,4719.594
MAG,32.0,HARD,HARD,2.0,6775.425,6799.982
NOR,13.0,SOFT,HARD,1.0,4878.561,4902.671
NOR,33.0,HARD,HARD,2.0,6837.589,6862.389
OCO,10.0,SOFT,HARD,1.0,4598.837,4623.528
OCO,30.0,HARD,HARD,2.0,6588.158,6613.288
PER,12.0,SOFT,HARD,1.0,4774.991,4799.484
PER,36.0,HARD,SOFT,2.0,7110.216,7134.639
PIA,12.0,SOFT,HARD,1.0,4782.605,4808.021
PIA,34.0,HARD,HARD,2.0,6938.558,6963.352
RIC,13.0,SOFT,HARD,1.0,4895.789,4920.38
RIC,35.0,HARD,SOFT,2.0,7072.253,7097.022
RUS,11.0,SOFT,HARD,1.0,4676.394,4701.16
RUS,31.0,HARD,HARD,2.0,6639.737,6664.687
SAI,14.0,SOFT,HARD,1.0,4970.807,4995.387
SAI,35.0,HARD,HARD,2.0,7016.614,7040.5
SAR,10.0,SOFT,HARD,1.0,4657.577,4693.302
SAR,28.0,HARD,HARD,2.0,6471.937,6497.08
SAR,40.0,HARD,SOFT,3.0,7659.995,7685.424
STR,9.0,SOFT,HARD,1.0,4500.719,4525.073
STR,27.0,HARD,HARD,2.0,6283.48,6307.9
TSU,14.0,SOFT,HARD,1.0,4986.054,5010.727
TSU,34.0,HARD,HARD,2.0,6965.032,6989.63
VER,17.0,SOFT,HARD,1.0,5250.291,5275.379
VER,37.0,HARD,SOFT,2.0,7187.796,7212.014
ZHO,9.0,SOFT,HARD,1.0,4497.559,4522.7
ZHO,28.0,HARD,HARD,2.0,6377.855,6402.838
