Driver,LapNumber,Stint,Compound,TyreLife,FreshTyre
VER,1.0,1.0,SOFT,4.0,False
VER,2.0,1.0,SOFT,5.0,False
VER,3.0,1.0,SOFT,6.0,False
VER,4.0,1.0,SOFT,7.0,False
VER,5.0,1.0,SOFT,8.0,False
VER,6.0,1.0,SOFT,9.0,False
VER,7.0,1.0,SOFT,10.0,False
VER,8.0,1.0,SOFT,11.0,False
VER,9.0,1.0,SOFT,12.0,False
VER,10.0,1.0,SOFT,13.0,False
VER,11.0,1.0,SOFT,14.0,False
VER,12.0,1.0,SOFT,15.0,False
VER,13.0,1.0,SOFT,16.0,False
VER,14.0,1.0,SOFT,17.0,False
VER,15.0,1.0,SOFT,18.0,False
VER,16.0,1.0,SOFT,19.0,False
VER,17.0,1.0,SOFT,20.0,False
VER,18.0,2.0,HARD,1.0,True
VER,19.0,2.0,HARD,2.0,True
VER,20.0,2.0,HARD,3.0,True
VER,21.0,2.0,HARD,4.0,True
VER,22.0,2.0,HARD,5.0,True
VER,23.0,2.0,HARD,6.0,True
VER,24.0,2.0,HARD,7.0,True
VER,25.0,2.0,HARD,8.0,True
VER,26.0,2.0,HARD,9.0,True
VER,27.0,2.0,HARD,10.0,True
VER,28.0,2.0,HARD,11.0,True
VER,29.0,2.0,HARD,12.0,True
VER,30.0,2.0,HARD,13.0,True
VER,31.0,2.0,HARD,14.0,True
VER,32.0,2.0,HARD,15.0,True
VER,33.0,2.0,HARD,16.0,True
VER,34.0,2.0,HARD,17.0,True
VER,35.0,2.0,HARD,18.0,True
VER,36.0,2.0,HARD,19.0,True
VER,37.0,2.0,HARD,20.0,True
VER,38.0,3.0,SOFT,1.0,True
VER,39.0,3.0,SOFT,2.0,True
VER,40.0,3.0,SOFT,3.0,True
VER,41.0,3.0,SOFT,4.0,True
VER,42.0,3.0,SOFT,5.0,True
VER,43.0,3.0,SOFT,6.0,True
VER,44.0,3.0,SOFT,7.0,True
VER,45.0,3.0,SOFT,8.0,True
VER,46.0,3.0,SOFT,9.0,True
VER,47.0,3.0,SOFT,10.0,True
VER,48.0,3.0,SOFT,11.0,True
VER,49.0,3.0,SOFT,12.0,True
VER,50.0,3.0,SOFT,13.0,True
VER,51.0,3.0,SOFT,14.0,True
VER,52.0,3.0,SOFT,15.0,True
VER,53.0,3.0,SOFT,16.0,True
VER,54.0,3.0,SOFT,17.0,True
VER,55.0,3.0,SOFT,18.0,True
VER,56.0,3.0,SOFT,19.0,True
VER,57.0,3.0,SOFT,20.0,True
PER,1.0,1.0,SOFT,4.0,False
PER,2.0,1.0,SOFT,5.0,False
PER,3.0,1.0,SOFT,6.0,False
PER,4.0,1.0,SOFT,7.0,False
PER,5.0,1.0,SOFT,8.0,False
PER,6.0,1.0,SOFT,9.0,False
PER,7.0,1.0,SOFT,10.0,False
PER,8.0,1.0,SOFT,11.0,False
PER,9.0,1.0,SOFT,12.0,False
PER,10.0,1.0,SOFT,13.0,False
PER,11.0,1.0,SOFT,14.0,False
PER,12.0,1.0,SOFT,15.0,False
PER,13.0,2.0,HARD,1.0,True
PER,14.0,2.0,HARD,2.0,True
PER,15.0,2.0,HARD,3.0,True
PER,16.0,2.0,HARD,4.0,True
PER,17.0,2.0,HARD,5.0,True
PER,18.0,2.0,HARD,6.0,True
PER,19.0,2.0,HARD,7.0,True
PER,20.0,2.0,HARD,8.0,True
PER,21.0,2.0,HARD,9.0,True
PER,22.0,2.0,HARD,10.0,True
PER,23.0,2.0,HARD,11.0,True
PER,24.0,2.0,HARD,12.0,True
PER,25.0,2.0,HARD,13.0,True
PER,26.0,2.0,HARD,14.0,True
PER,27.0,2.0,HARD,15.0,True
PER,28.0,2.0,HARD,16.0,True
PER,29.0,2.0,HARD,17.0,True
PER,30.0,2.0,HARD,18.0,True
PER,31.0,2.0,HARD,19.0,True
PER,32.0,2.0,HARD,20.0,True
PER,33.0,2.0,HARD,21.0,True
PER,34.0,2.0,HARD,22.0,True
PER,35.0,2.0,HARD,23.0,True
PER,36.0,2.0,HARD,24.0,True
PER,37.0,3.0,SOFT,1.0,True
PER,38.0,3.0,SOFT,2.0,True
PER,39.0,3.0,SOFT,3.0,True
PER,40.0,3.0,SOFT,4.0,True
PER,41.0,3.0,SOFT,5.0,True
PER,42.0,3.0,SOFT,6.0,True
PER,43.0,3.0,SOFT,7.0,True
PER,44.0,3.0,SOFT,8.0,True
PER,45.0,3.0,SOFT,9.0,True
PER,46.0,3.0,SOFT,10.0,True
PER,47.0,3.0,SOFT,11.0,True
PER,48.0,3.0,SOFT,12.0,True
PER,49.0,3.0,SOFT,13.0,True
PER,50.0,3.0,SOFT,14.0,True
PER,51.0,3.0,SOFT,15.0,True
PER,52.0,3.0,SOFT,16.0,True
PER,53.0,3.0,SOFT,17.0,True
PER,54.0,3.0,SOFT,18.0,True
PER,55.0,3.0,SOFT,19.0,True
PER,56.0,3.0,SOFT,20.0,True
PER,57.0,3.0,SOFT,21.0,True
SAI,1.0,1.0,SOFT,4.0,False
SAI,2.0,1.0,SOFT,5.0,False
SAI,3.0,1.0,SOFT,6.0,False
SAI,4.0,1.0,SOFT,7.0,False
SAI,5.0,1.0,SOFT,8.0,False
SAI,6.0,1.0,SOFT,9.0,False
SAI,7.0,1.0,SOFT,10.0,False
SAI,8.0,1.0,SOFT,11.0,False
SAI,9.0,1.0,SOFT,12.0,False
SAI,10.0,1.0,SOFT,13.0,False
SAI,11.0,1.0,SOFT,14.0,False
SAI,12.0,1.0,SOFT,15.0,False
SAI,13.0,1.0,SOFT,16.0,False
